x,y,s,Bx,By,Bs
-3.799999999999999906e-02,0.000000000000000000e+00,-1.055376064979622885e+00,0.000000000000000000e+00,2.906989074478263090e-09,0.000000000000000000e+00
-3.799999999999999906e-02,0.000000000000000000e+00,-1.054376064979622996e+00,0.000000000000000000e+00,3.144680535439040944e-09,0.000000000000000000e+00
-3.799999999999999906e-02,0.000000000000000000e+00,-1.053376064979623106e+00,0.000000000000000000e+00,3.400824376406887808e-09,0.000000000000000000e+00
-3.799999999999999906e-02,0.000000000000000000e+00,-1.052376064979623216e+00,0.000000000000000000e+00,3.676772174701186155e-09,0.000000000000000000e+00
-3.799999999999999906e-02,0.000000000000000000e+00,-1.051376064979623326e+00,0.000000000000000000e+00,3.973968154347282770e-09,0.000000000000000000e+00
-3.799999999999999906e-02,0.000000000000000000e+00,-1.050376064979623436e+00,0.000000000000000000e+00,4.293955063427052957e-09,0.000000000000000000e+00
-3.799999999999999906e-02,0.000000000000000000e+00,-1.049376064979623546e+00,0.000000000000000000e+00,4.638380390975361482e-09,0.000000000000000000e+00
-3.799999999999999906e-02,0.000000000000000000e+00,-1.048376064979623656e+00,0.000000000000000000e+00,5.009002940836798074e-09,0.000000000000000000e+00
-3.799999999999999906e-02,0.000000000000000000e+00,-1.047376064979623767e+00,0.000000000000000000e+00,5.407699780656490344e-09,0.000000000000000000e+00
-3.799999999999999906e-02,0.000000000000000000e+00,-1.046376064979623877e+00,0.000000000000000000e+00,5.836473584961765183e-09,0.000000000000000000e+00
-3.799999999999999906e-02,0.000000000000000000e+00,-1.045376064979623987e+00,0.000000000000000000e+00,6.297460392097728965e-09,0.000000000000000000e+00
-3.799999999999999906e-02,0.000000000000000000e+00,-1.044376064979624097e+00,0.000000000000000000e+00,6.792937795616546633e-09,0.000000000000000000e+00
-3.799999999999999906e-02,0.000000000000000000e+00,-1.043376064979624207e+00,0.000000000000000000e+00,7.325333591579096931e-09,0.000000000000000000e+00
-3.799999999999999906e-02,0.000000000000000000e+00,-1.042376064979624317e+00,0.000000000000000000e+00,7.897234904115824023e-09,0.000000000000000000e+00
-3.799999999999999906e-02,0.000000000000000000e+00,-1.041376064979624427e+00,0.000000000000000000e+00,8.511397812507359963e-09,0.000000000000000000e+00
-3.799999999999999906e-02,0.000000000000000000e+00,-1.040376064979624537e+00,0.000000000000000000e+00,9.170757503987285496e-09,0.000000000000000000e+00
-3.799999999999999906e-02,0.000000000000000000e+00,-1.039376064979624648e+00,0.000000000000000000e+00,9.878438977439883103e-09,0.000000000000000000e+00
-3.799999999999999906e-02,0.000000000000000000e+00,-1.038376064979624758e+00,0.000000000000000000e+00,1.063776832415994520e-08,0.000000000000000000e+00
-3.799999999999999906e-02,0.000000000000000000e+00,-1.037376064979624868e+00,0.000000000000000000e+00,1.145228461287139055e-08,0.000000000000000000e+00
-3.799999999999999906e-02,0.000000000000000000e+00,-1.036376064979624978e+00,0.000000000000000000e+00,1.232575240725049232e-08,0.000000000000000000e+00
-3.799999999999999906e-02,0.000000000000000000e+00,-1.035376064979625088e+00,0.000000000000000000e+00,1.326217494528541983e-08,0.000000000000000000e+00
-3.799999999999999906e-02,0.000000000000000000e+00,-1.034376064979625198e+00,0.000000000000000000e+00,1.426580801091123044e-08,0.000000000000000000e+00
-3.799999999999999906e-02,0.000000000000000000e+00,-1.033376064979625308e+00,0.000000000000000000e+00,1.534117452950285493e-08,0.000000000000000000e+00
-3.799999999999999906e-02,0.000000000000000000e+00,-1.032376064979625419e+00,0.000000000000000000e+00,1.649307991997266782e-08,0.000000000000000000e+00
-3.799999999999999906e-02,0.000000000000000000e+00,-1.031376064979625529e+00,0.000000000000000000e+00,1.772662823741877674e-08,0.000000000000000000e+00
-3.799999999999999906e-02,0.000000000000000000e+00,-1.030376064979625639e+00,0.000000000000000000e+00,1.904723914149635936e-08,0.000000000000000000e+00
-3.799999999999999906e-02,0.000000000000000000e+00,-1.029376064979625749e+00,0.000000000000000000e+00,2.046066572693596009e-08,0.000000000000000000e+00
-3.799999999999999906e-02,0.000000000000000000e+00,-1.028376064979625859e+00,0.000000000000000000e+00,2.197301325392020352e-08,0.000000000000000000e+00
-3.799999999999999906e-02,0.000000000000000000e+00,-1.027376064979625969e+00,0.000000000000000000e+00,2.359075881733644352e-08,0.000000000000000000e+00
-3.799999999999999906e-02,0.000000000000000000e+00,-1.026376064979626079e+00,0.000000000000000000e+00,2.532077199526836709e-08,0.000000000000000000e+00
-3.799999999999999906e-02,0.000000000000000000e+00,-1.025376064979626189e+00,0.000000000000000000e+00,2.717033651845175662e-08,0.000000000000000000e+00
-3.799999999999999906e-02,0.000000000000000000e+00,-1.024376064979626300e+00,0.000000000000000000e+00,2.914717300381798291e-08,0.000000000000000000e+00
-3.799999999999999906e-02,0.000000000000000000e+00,-1.023376064979626410e+00,0.000000000000000000e+00,3.125946279667308369e-08,0.000000000000000000e+00
-3.799999999999999906e-02,0.000000000000000000e+00,-1.022376064979626520e+00,0.000000000000000000e+00,3.351587296750157890e-08,0.000000000000000000e+00
-3.799999999999999906e-02,0.000000000000000000e+00,-1.021376064979626630e+00,0.000000000000000000e+00,3.592558251087073596e-08,0.000000000000000000e+00
-3.799999999999999906e-02,0.000000000000000000e+00,-1.020376064979626740e+00,0.000000000000000000e+00,3.849830979540292176e-08,0.000000000000000000e+00
-3.799999999999999906e-02,0.000000000000000000e+00,-1.019376064979626850e+00,0.000000000000000000e+00,4.124434131531419674e-08,0.000000000000000000e+00
-3.799999999999999906e-02,0.000000000000000000e+00,-1.018376064979626960e+00,0.000000000000000000e+00,4.417456179556942157e-08,0.000000000000000000e+00
-3.799999999999999906e-02,0.000000000000000000e+00,-1.017376064979627071e+00,0.000000000000000000e+00,4.730048570427478107e-08,0.000000000000000000e+00
-3.799999999999999906e-02,0.000000000000000000e+00,-1.016376064979627181e+00,0.000000000000000000e+00,5.063429022752637231e-08,0.000000000000000000e+00
-3.799999999999999906e-02,0.000000000000000000e+00,-1.015376064979627291e+00,0.000000000000000000e+00,5.418884976355993270e-08,0.000000000000000000e+00
-3.799999999999999906e-02,0.000000000000000000e+00,-1.014376064979627401e+00,0.000000000000000000e+00,5.797777199467286905e-08,0.000000000000000000e+00
-3.799999999999999906e-02,0.000000000000000000e+00,-1.013376064979627511e+00,0.000000000000000000e+00,6.201543559706365739e-08,0.000000000000000000e+00
-3.799999999999999906e-02,0.000000000000000000e+00,-1.012376064979627621e+00,0.000000000000000000e+00,6.631702965040796998e-08,0.000000000000000000e+00
-3.799999999999999906e-02,0.000000000000000000e+00,-1.011376064979627731e+00,0.000000000000000000e+00,7.089859481067939305e-08,0.000000000000000000e+00
-3.799999999999999906e-02,0.000000000000000000e+00,-1.010376064979627841e+00,0.000000000000000000e+00,7.577706631145428475e-08,0.000000000000000000e+00
-3.799999999999999906e-02,0.000000000000000000e+00,-1.009376064979627952e+00,0.000000000000000000e+00,8.097031886063954412e-08,0.000000000000000000e+00
-3.799999999999999906e-02,0.000000000000000000e+00,-1.008376064979628062e+00,0.000000000000000000e+00,8.649721350134310685e-08,0.000000000000000000e+00
-3.799999999999999906e-02,0.000000000000000000e+00,-1.007376064979628172e+00,0.000000000000000000e+00,9.237764650731282906e-08,0.000000000000000000e+00
-3.799999999999999906e-02,0.000000000000000000e+00,-1.006376064979628282e+00,0.000000000000000000e+00,9.863260038518555804e-08,0.000000000000000000e+00
-3.799999999999999906e-02,0.000000000000000000e+00,-1.005376064979628392e+00,0.000000000000000000e+00,1.052841970575077054e-07,0.000000000000000000e+00
-3.799999999999999906e-02,0.000000000000000000e+00,-1.004376064979628502e+00,0.000000000000000000e+00,1.123557533023194602e-07,0.000000000000000000e+00
-3.799999999999999906e-02,0.000000000000000000e+00,-1.003376064979628612e+00,0.000000000000000000e+00,1.198718385268411501e-07,0.000000000000000000e+00
-3.799999999999999906e-02,0.000000000000000000e+00,-1.002376064979628723e+00,0.000000000000000000e+00,1.278583349546086459e-07,0.000000000000000000e+00
-3.799999999999999906e-02,0.000000000000000000e+00,-1.001376064979628833e+00,0.000000000000000000e+00,1.363425003071993994e-07,0.000000000000000000e+00
-3.799999999999999906e-02,0.000000000000000000e+00,-1.000376064979628943e+00,0.000000000000000000e+00,1.453530330634538903e-07,0.000000000000000000e+00
-3.799999999999999906e-02,0.000000000000000000e+00,-9.993760649796290529e-01,0.000000000000000000e+00,1.549201403809166904e-07,0.000000000000000000e+00
-3.799999999999999906e-02,0.000000000000000000e+00,-9.983760649796291631e-01,0.000000000000000000e+00,1.650756087659930661e-07,0.000000000000000000e+00
-3.799999999999999906e-02,0.000000000000000000e+00,-9.973760649796292732e-01,0.000000000000000000e+00,1.758528775810712030e-07,0.000000000000000000e+00
-3.799999999999999906e-02,0.000000000000000000e+00,-9.963760649796293833e-01,0.000000000000000000e+00,1.872871154786503462e-07,0.000000000000000000e+00
-3.799999999999999906e-02,0.000000000000000000e+00,-9.953760649796294935e-01,0.000000000000000000e+00,1.994152998542626798e-07,0.000000000000000000e+00
-3.799999999999999906e-02,0.000000000000000000e+00,-9.943760649796296036e-01,0.000000000000000000e+00,2.122762994117098803e-07,0.000000000000000000e+00
-3.799999999999999906e-02,0.000000000000000000e+00,-9.933760649796297137e-01,0.000000000000000000e+00,2.259109599358649723e-07,0.000000000000000000e+00
-3.799999999999999906e-02,0.000000000000000000e+00,-9.923760649796298239e-01,0.000000000000000000e+00,2.403621933699555932e-07,0.000000000000000000e+00
-3.799999999999999906e-02,0.000000000000000000e+00,-9.913760649796299340e-01,0.000000000000000000e+00,2.556750702960133789e-07,0.000000000000000000e+00
-3.799999999999999906e-02,0.000000000000000000e+00,-9.903760649796300441e-01,0.000000000000000000e+00,2.718969159186958774e-07,0.000000000000000000e+00
-3.799999999999999906e-02,0.000000000000000000e+00,-9.893760649796301543e-01,0.000000000000000000e+00,2.890774096544550996e-07,0.000000000000000000e+00
-3.799999999999999906e-02,0.000000000000000000e+00,-9.883760649796302644e-01,0.000000000000000000e+00,3.072686884294929560e-07,0.000000000000000000e+00
-3.799999999999999906e-02,0.000000000000000000e+00,-9.873760649796303746e-01,0.000000000000000000e+00,3.265254537916120276e-07,0.000000000000000000e+00
-3.799999999999999906e-02,0.000000000000000000e+00,-9.863760649796304847e-01,0.000000000000000000e+00,3.469050829425194758e-07,0.000000000000000000e+00
-3.799999999999999906e-02,0.000000000000000000e+00,-9.853760649796305948e-01,0.000000000000000000e+00,3.684677437986187494e-07,0.000000000000000000e+00
-3.799999999999999906e-02,0.000000000000000000e+00,-9.843760649796307050e-01,0.000000000000000000e+00,3.912765141899065876e-07,0.000000000000000000e+00
-3.799999999999999906e-02,0.000000000000000000e+00,-9.833760649796308151e-01,0.000000000000000000e+00,4.153975053077385339e-07,0.000000000000000000e+00
-3.799999999999999906e-02,0.000000000000000000e+00,-9.823760649796309252e-01,0.000000000000000000e+00,4.408999895138101301e-07,0.000000000000000000e+00
-3.799999999999999906e-02,0.000000000000000000e+00,-9.813760649796310354e-01,0.000000000000000000e+00,4.678565326238435524e-07,0.000000000000000000e+00
-3.799999999999999906e-02,0.000000000000000000e+00,-9.803760649796311455e-01,0.000000000000000000e+00,4.963431307807756823e-07,0.000000000000000000e+00
-3.799999999999999906e-02,0.000000000000000000e+00,-9.793760649796312556e-01,0.000000000000000000e+00,5.264393520334085408e-07,0.000000000000000000e+00
-3.799999999999999906e-02,0.000000000000000000e+00,-9.783760649796313658e-01,0.000000000000000000e+00,5.582284827375451399e-07,0.000000000000000000e+00
-3.799999999999999906e-02,0.000000000000000000e+00,-9.773760649796314759e-01,0.000000000000000000e+00,5.917976788978025533e-07,0.000000000000000000e+00
-3.799999999999999906e-02,0.000000000000000000e+00,-9.763760649796315860e-01,0.000000000000000000e+00,6.272381225691081103e-07,0.000000000000000000e+00
-3.799999999999999906e-02,0.000000000000000000e+00,-9.753760649796316962e-01,0.000000000000000000e+00,6.646451834379749643e-07,0.000000000000000000e+00
-3.799999999999999906e-02,0.000000000000000000e+00,-9.743760649796318063e-01,0.000000000000000000e+00,7.041185857043301668e-07,0.000000000000000000e+00
-3.799999999999999906e-02,0.000000000000000000e+00,-9.733760649796319164e-01,0.000000000000000000e+00,7.457625803855101226e-07,0.000000000000000000e+00
-3.799999999999999906e-02,0.000000000000000000e+00,-9.723760649796320266e-01,0.000000000000000000e+00,7.896861231647128531e-07,0.000000000000000000e+00
-3.799999999999999906e-02,0.000000000000000000e+00,-9.713760649796321367e-01,0.000000000000000000e+00,8.360030579067074706e-07,0.000000000000000000e+00
-3.799999999999999906e-02,0.000000000000000000e+00,-9.703760649796322468e-01,0.000000000000000000e+00,8.848323059641915399e-07,0.000000000000000000e+00
-3.799999999999999906e-02,0.000000000000000000e+00,-9.693760649796323570e-01,0.000000000000000000e+00,9.362980613985366188e-07,0.000000000000000000e+00
-3.799999999999999906e-02,0.000000000000000000e+00,-9.683760649796324671e-01,0.000000000000000000e+00,9.905299922390234205e-07,0.000000000000000000e+00
-3.799999999999999906e-02,0.000000000000000000e+00,-9.673760649796325772e-01,0.000000000000000000e+00,1.047663447904798486e-06,0.000000000000000000e+00
