x,y,z,phi_m,Ax,Ay,Az,Bx,By,Bz
0.81274109, 0, 0.42163407, 0.00011710592, 0.018899928, -8.9677274e-06, 0.0098617995, -0.0019240261, 0.30488803, 0.0098622736
0.81228578, 0, 0.42251056, 0.00010757316, 0.018933307, -9.0893411e-06, 0.0098742741, -0.0019336086, 0.30105705, 0.0098840083
0.81182952, 0, 0.42338657, 9.8024512e-05, 0.018964288, -9.2107885e-06, 0.0098860644, -0.0019413077, 0.29722518, 0.0098965543
0.81137232, 0, 0.42426208, 8.8468682e-05, 0.018992874, -9.3320109e-06, 0.0098971716, -0.0019472211, 0.29339634, 0.0099003376
0.81091418, 0, 0.4251371, 7.8913947e-05, 0.019019072, -9.4529496e-06, 0.0099075976, -0.001951448, 0.28957421, 0.0098957955
0.81045509, 0, 0.42601163, 6.936815e-05, 0.019042894, -9.5735456e-06, 0.0099173448, -0.0019540876, 0.28576229, 0.0098833713
0.80999506, 0, 0.42688566, 5.9838686e-05, 0.019064353, -9.6937399e-06, 0.0099264165, -0.0019552387, 0.28196385, 0.0098635099
0.80953409, 0, 0.42775919, 5.0332516e-05, 0.019083467, -9.8134735e-06, 0.0099348165, -0.0019549982, 0.27818194, 0.0098366538
0.80907217, 0, 0.42863222, 4.0856161e-05, 0.019100254, -9.9326876e-06, 0.0099425488, -0.0019534607, 0.27441941, 0.0098032396
0.80860931, 0, 0.42950476, 3.1415719e-05, 0.019114737, -1.0051323e-05, 0.0099496184, -0.001950718, 0.27067889, 0.0097636954
0.80814551, 0, 0.4303768, 2.201687e-05, 0.019126939, -1.0169322e-05, 0.0099560303, -0.0019468583, 0.26696282, 0.0097184387
0.80768078, 0, 0.43124833, 1.2664887e-05, 0.019136886, -1.0286627e-05, 0.0099617902, -0.0019419665, 0.26327342, 0.0096678741
0.8072151, 0, 0.43211937, 3.3646562e-06, 0.019144607, -1.0403178e-05, 0.0099669038, -0.0019361231, 0.25961274, 0.0096123923
0.80674848, 0, 0.4329899, -5.879312e-06, 0.019150131, -1.051892e-05, 0.0099713775, -0.0019294049, 0.25598263, 0.0095523689
0.80628092, 0, 0.43385992, -1.5062868e-05, 0.019153489, -1.0633796e-05, 0.0099752177, -0.0019218841, 0.25238477, 0.0094881638
0.80581243, 0, 0.43472944, -2.4182207e-05, 0.019154715, -1.0747749e-05, 0.0099784313, -0.001913629, 0.24882068, 0.0094201205
0.805343, 0, 0.43559846, -3.3233845e-05, 0.019153841, -1.0860725e-05, 0.009981025, -0.0019047031, 0.2452917, 0.0093485661
0.80487263, 0, 0.43646697, -4.2214615e-05, 0.019150903, -1.0972668e-05, 0.0099830061, -0.0018951661, 0.24179902, 0.0092738111
0.80440132, 0, 0.43733497, -5.1121637e-05, 0.019145936, -1.1083526e-05, 0.0099843818, -0.0018850733, 0.23834371, 0.0091961498
0.80392908, 0, 0.43820246, -5.9952311e-05, 0.019138979, -1.1193246e-05, 0.0099851595, -0.0018744757, 0.23492668, 0.0091158599
0.8034559, 0, 0.43906944, -6.8704296e-05, 0.019130067, -1.1301775e-05, 0.0099853468, -0.0018634206, 0.2315487, 0.0090332038
0.80298179, 0, 0.43993592, -7.7375496e-05, 0.019119239, -1.1409064e-05, 0.0099849513, -0.0018519513, 0.22821046, 0.0089484281
0.80250674, 0, 0.44080188, -8.5964044e-05, 0.019106533, -1.1515063e-05, 0.0099839806, -0.0018401074, 0.2249125, 0.0088617647
0.80203076, 0, 0.44166732, -9.4468289e-05, 0.019091989, -1.1619724e-05, 0.0099824424, -0.0018279248, 0.22165527, 0.0087734312
0.80155384, 0, 0.44253225, -0.00010288678, 0.019075646, -1.1722998e-05, 0.0099803445, -0.0018154362, 0.21843913, 0.0086836314
0.801076, 0, 0.44339667, -0.00011121825, 0.019057542, -1.1824841e-05, 0.0099776946, -0.0018026712, 0.21526432, 0.0085925559
0.80059722, 0, 0.44426057, -0.00011946161, 0.019037719, -1.1925208e-05, 0.0099745006, -0.0017896563, 0.21213103, 0.0085003832
0.80011751, 0, 0.44512396, -0.00012761593, 0.019016214, -1.2024056e-05, 0.0099707702, -0.0017764152, 0.20903936, 0.0084072797
0.79963686, 0, 0.44598682, -0.00013568044, 0.018993069, -1.2121343e-05, 0.0099665113, -0.0017629695, 0.20598932, 0.0083134007
0.79915529, 0, 0.44684917, -0.00014365449, 0.018968321, -1.2217029e-05, 0.0099617314, -0.001749338, 0.20298088, 0.0082188912
0.79867279, 0, 0.447711, -0.00015153759, 0.018942012, -1.2311075e-05, 0.0099564384, -0.0017355381, 0.20001394, 0.0081238861
0.79818935, 0, 0.44857231, -0.00015932935, 0.01891418, -1.2403443e-05, 0.00995064, -0.0017215848, 0.19708833, 0.0080285114
0.79770499, 0, 0.44943309, -0.00016702949, 0.018884863, -1.2494098e-05, 0.0099443438, -0.0017074919, 0.19420385, 0.0079328842
0.7972197, 0, 0.45029335, -0.00017463784, 0.018854101, -1.2583006e-05, 0.0099375575, -0.0016932718, 0.19136024, 0.0078371138
0.79673349, 0, 0.45115309, -0.00018215434, 0.018821931, -1.2670134e-05, 0.0099302886, -0.0016789357, 0.18855721, 0.0077413016
0.79624634, 0, 0.4520123, -0.00018957899, 0.018788393, -1.275545e-05, 0.0099225446, -0.0016644938, 0.18579443, 0.0076455423
0.79575827, 0, 0.45287099, -0.00019691189, 0.018753522, -1.2838926e-05, 0.0099143331, -0.0016499556, 0.18307151, 0.0075499238
0.79526928, 0, 0.45372915, -0.00020415324, 0.018717357, -1.2920533e-05, 0.0099056615, -0.0016353299, 0.18038808, 0.0074545279
0.79477935, 0, 0.45458678, -0.00021130326, 0.018679934, -1.3000246e-05, 0.0098965371, -0.0016206247, 0.17774369, 0.0073594305
0.79428851, 0, 0.45544388, -0.00021836228, 0.018641289, -1.307804e-05, 0.0098869673, -0.0016058479, 0.1751379, 0.0072647018
0.79379673, 0, 0.45630045, -0.00022533067, 0.018601457, -1.3153892e-05, 0.0098769593, -0.0015910066, 0.17257024, 0.007170407
0.79330404, 0, 0.4571565, -0.00023220887, 0.018560474, -1.322778e-05, 0.0098665204, -0.0015761079, 0.17004022, 0.0070766061
0.79457831, 0, -0.45875, 0.00043440787, -0.01877069, 3.3900092e-06, 0.0095436453, -0.0011488456, 0.17285204, -0.0054849223
0.79507272, 0, -0.45789258, 0.0004397158, -0.018810878, 3.3244588e-06, 0.0095508286, -0.0011600078, 0.17541108, -0.0055651378
0.79556621, 0, -0.45703463, 0.00044510049, -0.018849877, 3.2579986e-06, 0.0095575672, -0.0011714316, 0.17800763, -0.0056464977
0.79605877, 0, -0.45617615, 0.0004505631, -0.018887654, 3.1906482e-06, 0.0095638546, -0.0011831188, 0.18064218, -0.0057289599
0.79655041, 0, -0.45531714, 0.00045610474, -0.018924172, 3.1224281e-06, 0.0095696838, -0.0011950697, 0.1833152, -0.0058124751
0.79704112, 0, -0.4544576, 0.00046172648, -0.018959395, 3.0533603e-06, 0.0095750483, -0.0012072831, 0.18602714, -0.0058969865
0.7975309, 0, -0.45359753, 0.00046742934, -0.018993286, 2.9834676e-06, 0.009579941, -0.0012197562, 0.18877844, -0.0059824291
0.79801975, 0, -0.45273693, 0.00047321428, -0.019025809, 2.9127744e-06, 0.0095843552, -0.0012324845, 0.19156947, -0.0060687292
0.79850768, 0, -0.4518758, 0.00047908217, -0.019056924, 2.8413058e-06, 0.0095882839, -0.0012454616, 0.19440062, -0.006155804
0.79899467, 0, -0.45101415, 0.00048503384, -0.019086595, 2.7690885e-06, 0.0095917201, -0.0012586788, 0.1972722, -0.0062435611
